time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.755259419664564e-08,7.952504592866436e-07,10.001919818605955,0.0006387383671810909,6.283089146965409,0.0,6.363802168182147e-06,6.291973106451699e-05,0.06399191450522541,0.02621168214994716,-0.005018104771115417,0.0,425.7896299497908,425.36022287993717,423.9450152094898,426.1907834004493
0.12000000000000001,3.546689333790422e-06,2.3169089779964416e-05,10.008186175556894,0.001935208101061292,6.28269799892934,0.0,0.00014408664201269784,0.0008272486693055407,0.14487900168193737,0.010288152387441792,-0.00970429338891156,0.0,430.4480874929726,430.0515098155214,432.0260276574088,430.68159627001955
0.18,2.5384108471977243e-05,0.00011844902176675247,10.02132743961354,0.0028472052191395036,6.282067749559994,0.0,0.000649935012991467,0.0024337619350453038,0.2931357767418319,0.023556206333744646,-0.012153885166424554,0.0,452.05389888924276,451.85662668251166,451.48713787979557,452.5560780372916
0.23999999999999996,8.858672128858285e-05,0.00032432418716352607,10.040515687275889,0.004226833190783097,6.281150808230123,0.0,0.0015342385012855012,0.004561521470219295,0.34645681774586495,0.021844708055321512,-0.022416657912131998,0.0,421.9687397492105,421.0820883595039,422.41378220896513,422.26626345378133
0.3,0.0002283832780384195,0.0006933499143399304,10.064983975657324,0.005480837667106719,6.280511869016921,0.0,0.0032229263485849835,0.007874326775549506,0.4691089338466355,0.018940713159438332,0.006106273216235724,0.0,443.06969042753764,445.4081898249159,444.23450686666155,443.9963486392118
0.36000000000000004,0.0004735237580040966,0.0012786392091772589,10.095305688908763,0.0062801878707015035,6.280685275874616,0.0,0.004920991826239698,0.011733273058939718,0.5415822811050034,-0.001341847581110188,-0.004475844344155475,0.0,429.0212905746072,428.1219506185209,428.941903011638,427.21617360516694
0.4200000000000001,0.0008174161703705385,0.0021027822935015795,10.129324766092143,0.0058481079514196566,6.280698842834676,0.0,0.006552815518279194,0.015717326488998602,0.5923617213647995,-0.02273403775985051,0.008275630096298503,0.0,421.09121783995226,422.1926906797879,421.91314849667,420.06250083061957
0.48000000000000015,0.0012666126628164544,0.0031775997110837545,10.170699748041176,0.00397488254000411,6.281394708930058,0.0,0.008350155052437726,0.01993452734318047,0.7866915664384546,-0.0593773441616623,0.017528541064065067,0.0,466.9155929675741,467.6366785809721,466.6826820490387,463.8135355065787
0.5400000000000001,0.0018008518742755998,0.004443942630887947,10.22143074109214,4.570849529983434e-07,6.282916627483553,0.0,0.009319538211405182,0.02188844644794012,0.9042567755345835,-0.08575622586343527,0.0376599128968052,0.0,442.1399375783235,443.79530210644083,444.2899887123347,442.11863700992126
0.6000000000000002,0.0023560925441902286,0.005734704322275475,10.283026249363699,6.278800947167799,0.0021554956096005995,0.0,0.00889894493006193,0.02055864064720879,1.1487126455518362,-0.05541277495720887,0.04538968344138986,0.0,480.34300795524763,480.9294674390921,481.01316294652736,483.30122030168735
0.6600000000000003,0.002832897189354694,0.006860735920349868,10.355772182250693,6.275392636262662,0.004870266390050837,0.0,0.006706554035487672,0.01661958627665667,1.276015371865652,-0.05974521536208699,0.04495770674108983,0.0,447.79237645893903,447.75840923454336,446.0151134587582,445.658968000017
0.7200000000000003,0.0031286937703412293,0.007690361172958301,10.43448191377224,6.271773000551544,0.007073849254123132,0.0,0.002904285767711477,0.010683077222637971,1.3475559755292708,-0.06151698579872304,0.010202500590587032,0.0,430.49509365361394,427.54501747371717,429.9056136755331,429.7527595657672
0.7800000000000004,0.003159336186523728,0.008090006013235278,10.517668878448552,6.268526305637465,0.007444760553440233,0.0,-0.0019322209021771074,0.0023002389023035817,1.425244321790527,-0.042363143136529675,-0.0034021962136763654,0.0,431.8639342109729,430.71490834986525,431.11028521618374,432.7233467425585
0.8400000000000004,0.002818194208380422,0.007768113383988838,10.615935841014599,6.266150197131765,0.007165944850399342,0.0,-0.009398789435859894,-0.013389176143637336,1.84972969253576,-0.03458463961916487,-0.007260620145224341,0.0,532.8243089896388,532.5605762298893,530.8495520982547,531.3824629824087
0.9000000000000005,0.002084492501721214,0.006547392236425358,10.733223315865649,6.26414949696677,0.006692421422426875,0.0,-0.015001708707379076,-0.027536128555363252,2.059494947583641,-0.030974803057501225,-0.009185852774060975,0.0,473.43876177822983,473.2907400570783,473.9099303740701,474.18693138003385
0.9600000000000005,0.0010415104032698403,0.004475091525676057,10.860825076158717,6.262542229739278,0.005922946363713599,0.0,-0.01969336068565057,-0.04172004839360511,2.1936457638436497,-0.019510199701371675,-0.021331070599474894,0.0,452.5368256682809,451.5583031278574,450.9173002971351,451.84228449215817
1.0200000000000005,-0.00026993803451357516,0.0014974941177759997,10.997607068379956,6.260772722982731,0.004697652731303847,0.0,-0.023878675316081906,-0.0576546004393001,2.365412273899044,-0.08233221057027956,-0.01866205844972878,0.0,463.47328924705386,463.6830415938375,466.25752162331617,461.32253493622994
1.0800000000000005,-0.0017967314342925923,-0.002450901216411768,11.142836141770402,6.255766964559754,0.0033343094247682004,0.0,-0.026886593927830865,-0.07446750077534642,2.4753127126253136,-0.08571753305880435,-0.03241914596088981,0.0,446.6870300830304,445.5637171364752,444.94407047168994,444.6611613578084
1.1400000000000006,-0.0034844396810142586,-0.007627901581251946,11.298679852798664,6.250621338423798,0.0009340986824728503,0.0,-0.029110548736940196,-0.0987174855737335,2.7189122530818337,-0.08584632235627368,-0.06291808024796694,0.0,487.13631600134914,484.8495078366949,485.9790632624843,485.9640416485683
